Date,Open,High,Low,Close,Volume
09/16/2024,"157.31","158.25","156.60","158.06","18,379,779"
09/13/2024,"155.43","158.38","155.21","157.46","29,591,150"
09/12/2024,"153.80","154.82","152.65","154.69","29,695,051"
09/11/2024,"149.92","151.50","147.52","151.16","29,607,689"
09/10/2024,"150.45","151.27","148.34","148.66","31,118,770"
09/09/2024,"152.51","153.40","147.22","148.71","39,260,449"
09/06/2024,"157.30","157.83","150.55","150.92","37,912,129"
09/05/2024,"156.30","159.45","155.98","157.24","18,688,750"
09/04/2024,"156.66","159.00","155.96","156.45","19,353,760"
09/03/2024,"161.72","161.85","156.48","157.36","38,925,500"
08/30/2024,"162.62","163.66","161.69","163.38","22,123,811"
08/29/2024,"164.31","165.97","160.25","161.78","19,699,770"
08/28/2024,"165.04","165.60","161.53","162.85","16,407,439"
08/27/2024,"165.84","166.44","164.46","164.68","11,821,940"
08/26/2024,"166.38","167.55","164.46","166.16","14,190,420"
08/23/2024,"164.72","166.18","163.83","165.62","13,955,740"
08/22/2024,"167.26","167.59","163.31","163.80","22,493,279"
08/21/2024,"165.15","166.85","164.67","165.85","22,902,000"
08/20/2024,"166.90","168.64","166.82","167.18","18,341,529"
08/19/2024,"165.28","166.69","164.26","166.67","22,416,189"
08/16/2024,"161.47","165.06","161.13","162.96","24,208,650"
08/15/2024,"160.50","161.64","159.61","161.30","31,524,250"
08/14/2024,"162.40","163.22","157.71","160.37","40,591,129"
08/13/2024,"163.41","164.73","162.97","164.16","18,551,689"
08/12/2024,"164.35","164.90","161.84","162.29","15,895,290"
08/09/2024,"160.01","163.79","159.06","163.67","28,602,289"
08/08/2024,"160.51","163.69","160.21","162.03","25,578,840"
08/07/2024,"161.25","162.98","158.47","158.94","25,138,570"
08/06/2024,"159.33","160.57","156.41","158.29","49,004,559"
08/05/2024,"155.50","164.43","154.93","159.25","53,630,672"
08/02/2024,"166.44","168.51","164.67","166.66","29,130,100"
08/01/2024,"170.25","174.05","168.88","170.76","24,531,391"
07/31/2024,"173.24","174.25","170.01","171.54","25,729,090"
07/30/2024,"170.24","171.23","168.44","170.29","18,959,689"
07/29/2024,"168.83","170.43","167.99","169.53","20,293,820"
07/26/2024,"167.15","168.09","164.06","167.00","41,336,887"
07/25/2024,"172.52","173.42","167.19","167.28","44,851,969"
07/24/2024,"173.60","176.19","171.82","172.63","49,585,199"
07/23/2024,"182.05","183.61","181.54","181.79","36,352,711"
07/22/2024,"180.59","182.70","180.23","181.67","24,100,350"
07/19/2024,"178.88","180.29","177.13","177.66","18,881,891"
07/18/2024,"181.93","182.50","176.47","177.69","25,315,730"
07/17/2024,"182.97","183.55","179.90","181.02","20,734,070"
07/16/2024,"187.36","188.68","183.37","183.92","18,290,721"
07/15/2024,"184.92","188.24","184.92","186.53","16,474,039"
07/12/2024,"185.08","187.11","184.49","185.07","22,898,410"
07/11/2024,"189.85","190.86","185.08","185.57","25,625,779"
07/10/2024,"189.15","191.75","189.03","191.18","15,952,450"
07/09/2024,"190.31","191.36","188.72","188.98","15,141,310"
07/08/2024,"189.90","190.17","187.78","189.03","21,035,891"
07/05/2024,"185.86","190.86","185.80","190.60","20,967,449"
07/03/2024,"184.85","186.09","184.00","185.82","10,242,130"
07/02/2024,"182.05","185.57","181.56","185.24","17,372,490"
07/01/2024,"183.03","183.88","181.30","182.99","16,006,130"
06/28/2024,"184.32","185.13","181.96","182.15","29,156,641"
06/27/2024,"184.18","186.05","184.02","185.41","18,848,881"
06/26/2024,"182.63","184.51","182.48","183.88","19,838,971"
06/25/2024,"179.62","184.29","179.42","184.03","23,235,590"
06/24/2024,"180.16","180.89","178.67","179.22","18,298,010"
06/21/2024,"177.00","180.85","176.61","179.63","58,582,738"
06/20/2024,"175.37","177.29","174.99","176.30","20,160,090"
06/18/2024,"177.14","177.39","174.10","175.09","21,869,859"
06/17/2024,"175.46","178.36","174.81","177.24","19,618,500"
06/14/2024,"174.22","177.06","174.15","176.79","18,063,561"
06/13/2024,"176.11","176.74","174.88","175.16","20,913,301"
06/12/2024,"178.25","180.41","176.11","177.79","27,864,740"
06/11/2024,"176.22","176.84","173.77","176.62","21,540,580"
06/10/2024,"174.97","177.06","172.76","175.01","23,779,221"
06/07/2024,"177.05","177.87","174.30","174.46","19,661,400"
06/06/2024,"175.90","177.15","175.75","176.73","23,251,010"
06/05/2024,"175.20","176.65","173.93","175.41","22,068,520"
06/04/2024,"173.28","173.85","171.89","173.79","26,879,600"
06/03/2024,"172.54","174.53","171.16","173.17","27,459,119"
05/31/2024,"171.86","173.06","169.44","172.50","37,638,879"
05/30/2024,"175.20","175.22","171.79","172.11","22,958,680"
05/29/2024,"175.43","176.84","174.72","175.90","23,388,689"
05/28/2024,"174.45","177.27","174.37","176.40","20,572,160"
05/24/2024,"174.98","175.77","173.65","174.99","16,579,439"
05/23/2024,"177.07","178.25","172.95","173.55","21,024,939"
05/22/2024,"176.64","177.15","175.21","176.38","17,880,039"
